,theme_id,theme_name,parent_id,set_name,year,num_parts
9314,123,World Racers,112.0,Rocket Kit,2010,26
9315,301,Other,,MUJI Sea Set,2010,91
9316,301,Other,,MUJI Transparent Set,2010,0
9317,206,Seasonal,,Rose,2010,29
9318,672,Creator 3-in-1,22.0,Sonic Boom,2010,539
9319,408,LEGO Brand Store,,"LEGO Store Grand Opening Exclusive Set, Aventura Mall, Miami, FL",2010,142
9320,301,Other,,Max,2010,4
9321,301,Other,,Ducks,2010,15
9322,516,Duplo and Explore,507.0,Farm Set,2010,150
9323,672,Creator 3-in-1,22.0,Offroad Power,2010,1061
9324,504,Duplo,,XXL Box,2010,201
9325,516,Duplo and Explore,507.0,Community Vehicles Set,2010,57
9326,232,Valentine,206.0,Heart 2010,2010,26
9327,408,LEGO Brand Store,,"LEGO Store Grand Opening Exclusive Set, Barton Creek Square, Austin, TX",2010,82
9328,231,Thanksgiving,206.0,Thanksgiving Turkey,2010,53
9329,123,World Racers,112.0,World Race Powerboat,2010,27
9330,123,World Racers,112.0,World Race Buggy,2010,35
9331,52,City,50.0,City House,2010,385
9332,315,Atlantis,,Monster Crab Clash,2010,69
9333,632,Town,504.0,Farm Set - Cow,2010,4
9334,503,Key Chain,501.0,Dobby Key Chain,2010,0
9335,501,Gear,,Soccer Ball,2010,0
9336,501,Gear,,Harry Potter Magnet Set,2010,20
9337,503,Key Chain,501.0,Portal Emperor Key Chain,2010,0
9338,501,Gear,,Harry Potter Magnet Set,2010,19
9339,501,Gear,,Yoda T-Shirt,2010,0
9340,501,Gear,,Key Covers,2010,0
9341,501,Gear,,LEGO Logo Umbrella,2010,0
9342,501,Gear,,LEGO Logo Mug,2010,0
9343,501,Gear,,2011 Calendar,2010,0
9344,158,Star Wars,,White Boba Fett Figure,2010,5
9345,503,Key Chain,501.0,Rock Band Promo Minifigure Key Chain,2010,0
9346,503,Key Chain,501.0,Rock Band Promo Minifigure Key Chain,2010,0
9347,503,Key Chain,501.0,Duke Key Chain,2010,0
9348,315,Atlantis,,Manta Warrior,2010,13
9349,503,Key Chain,501.0,Jessie Key Chain,2010,0
9350,503,Key Chain,501.0,Clone Pilot Key Chain,2010,0
9351,501,Gear,,Star Wars Magnet Set,2010,19
9352,503,Key Chain,501.0,Alien Key Chain,2010,0
9353,503,Key Chain,501.0,Buzz Lightyear Key Chain,2010,0
9354,275,Toy Story,,Alien Space Ship,2010,29
9355,503,Key Chain,501.0,Woody Key Chain,2010,0
9356,503,Key Chain,501.0,Court Jester Key Chain,2010,0
9357,503,Key Chain,501.0,LEGO Club Max Key Chain,2010,0
9358,503,Key Chain,501.0,Firax Key Chain,2010,0
9359,503,Key Chain,501.0,Penguin Key Chain,2010,0
9360,503,Key Chain,501.0,Harry Potter Key Chain,2010,0
9361,503,Key Chain,501.0,Ron Weasley Key Chain,2010,0
9362,503,Key Chain,501.0,Hermione Granger Key Chain,2010,0
9363,501,Gear,,"Magnet Set, Star Wars - Kit Fisto, Barriss Offee, Captain Jag",2010,19
9364,503,Key Chain,501.0,Luke Skywalker Key Chain,2010,0
9365,501,Gear,,Prince of Persia Magnet Set,2010,23
9366,503,Key Chain,501.0,Rebeus Hagrid Key Chain,2010,0
9367,501,Gear,,Dragon Armor,2010,0
9368,503,Key Chain,501.0,Nizam Key Chain,2010,0
9369,503,Key Chain,501.0,Princess Tamina Key Chain,2010,0
9370,503,Key Chain,501.0,Senate Commando Captain Key Chain,2010,0
9371,501,Gear,,Good Knight's Armor,2010,0
9372,503,Key Chain,501.0,King Key Chain,2010,0
9373,503,Key Chain,501.0,Albus Dumbledore Key Chain,2010,0
9374,501,Gear,,Foldable red shopping bag,2010,0
9375,501,Gear,,Female Minifigure Magnet Set,2010,20
9376,503,Key Chain,501.0,Princess Key Chain,2010,0
9377,632,Town,504.0,Dump Truck,2010,10
9378,501,Gear,,Toy Story Magnet Set,2010,18
9379,503,Key Chain,501.0,Severus Snape Key Chain,2010,0
9380,503,Key Chain,501.0,Duck Key Chain,2010,0
9381,503,Key Chain,501.0,Crocodile Key Chain,2010,0
9382,503,Key Chain,501.0,Prince Dastan Key Chain,2010,0
9383,158,Star Wars,,AT-AT Walker,2010,83
9384,315,Atlantis,,Deep Sea Striker,2010,261
9385,632,Town,504.0,Big Tractor,2010,12
9386,501,Gear,,Minifigure Ice Cube Tray,2010,0
9387,58,Fire,52.0,Fire Chief,2010,31
9388,315,Atlantis,,Neptune Carrier,2010,479
9389,632,Town,504.0,Big Farm,2010,68
9390,632,Town,504.0,Horse Stables,2010,38
9391,632,Town,504.0,Farm Nursery,2010,9
9392,632,Town,504.0,Farm Bike,2010,9
9393,503,Key Chain,501.0,Princess Leia Key Chain,2010,0
9394,632,Town,504.0,Chicken Coop,2010,11
9395,632,Town,504.0,Little Piggy,2010,4
9396,37,Basic Set,22.0,Basic Set Limited Edition,2010,480
